timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-12-19T00:00:00.000Z";"2023-12-19T23:59:59.999Z";"2023-12-19T08:17:00.000Z";"2023-12-19T17:59:00.000Z";"2790";2030.7308762443;2061.1652430712;1949.2494066794;1983.3994758983;9721529755.735197;239639548894.1159;"2023-12-19T23:59:59.999Z"
"2023-12-18T00:00:00.000Z";"2023-12-18T23:59:59.999Z";"2023-12-18T23:07:00.000Z";"2023-12-18T10:36:00.000Z";"2790";2015.0822142163;2034.1275283045;1942.420504846;2029.9714000377;9515340178.576603;244628309912.01788;"2023-12-18T23:59:59.999Z"
"2023-12-17T00:00:00.000Z";"2023-12-17T23:59:59.999Z";"2023-12-17T20:50:00.000Z";"2023-12-17T23:38:00.000Z";"2790";2041.4279649825;2059.071556921;2015.5929473429;2016.3103990378;6793281614.664296;242028041177.53558;"2023-12-17T23:59:59.999Z"
"2023-12-16T00:00:00.000Z";"2023-12-16T23:59:59.999Z";"2023-12-16T16:45:00.000Z";"2023-12-16T00:39:00.000Z";"2790";2035.4904818117;2072.5204467949;2029.1974780408;2041.4591715318;6294681227.219555;245389167483.41342;"2023-12-16T23:59:59.999Z"
"2023-12-15T00:00:00.000Z";"2023-12-15T23:59:59.999Z";"2023-12-15T00:20:00.000Z";"2023-12-15T23:29:00.000Z";"2790";2106.7641498406;2108.6112146996;2029.8504651056;2034.5020214749;9331863393.209925;242665671280.18057;"2023-12-15T23:59:59.999Z"
"2023-12-14T00:00:00.000Z";"2023-12-14T23:59:59.999Z";"2023-12-14T23:18:00.000Z";"2023-12-14T13:31:00.000Z";"2790";2077.1257933873;2121.1232001407;2050.0479128352;2107.1533152677;11584669366.802097;255856936846.15854;"2023-12-14T23:59:59.999Z"
"2023-12-13T00:00:00.000Z";"2023-12-13T23:59:59.999Z";"2023-12-13T22:17:00.000Z";"2023-12-13T07:01:00.000Z";"2790";2039.3502181554;2098.7252800372;1994.5084387157;2077.0501784108;11644270788.300842;251614789491.05048;"2023-12-13T23:59:59.999Z"
"2023-12-12T00:00:00.000Z";"2023-12-12T23:59:59.999Z";"2023-12-12T02:20:00.000Z";"2023-12-12T17:35:00.000Z";"2790";2066.0143542928;2082.8389905793;2007.3283214589;2039.2545137129;10580083612.9763;245868045738.91208;"2023-12-12T23:59:59.999Z"
"2023-12-11T00:00:00.000Z";"2023-12-11T23:59:59.999Z";"2023-12-11T00:10:00.000Z";"2023-12-11T19:42:00.000Z";"2790";2185.2318116466;2186.9521227472;2006.6788680419;2066.6158943218;16710195843.702934;248414643882.67456;"2023-12-11T23:59:59.999Z"
"2023-12-10T00:00:00.000Z";"2023-12-10T23:59:59.999Z";"2023-12-10T20:57:00.000Z";"2023-12-10T10:00:00.000Z";"2790";2173.3247652455;2209.9234089189;2156.5851781924;2185.294399732;6840470985.3796625;262499544688.8811;"2023-12-10T23:59:59.999Z"
"2023-12-09T00:00:00.000Z";"2023-12-09T23:59:59.999Z";"2023-12-09T08:26:00.000Z";"2023-12-09T23:35:00.000Z";"2790";2189.3323543331;2229.3140272655;2164.2523843698;2173.0788514927;9851276962.104387;261242927442.38248;"2023-12-09T23:59:59.999Z"
"2023-12-08T00:00:00.000Z";"2023-12-08T23:59:59.999Z";"2023-12-08T04:16:00.000Z";"2023-12-08T14:15:00.000Z";"2790";2184.5915032831;2212.8032411349;2178.79295541;2189.3749860632;11625101914.061659;262805776508.7408;"2023-12-08T23:59:59.999Z"
"2023-12-07T00:00:00.000Z";"2023-12-07T23:59:59.999Z";"2023-12-07T21:34:00.000Z";"2023-12-07T09:28:00.000Z";"2790";2074.228190104;2206.2269267081;2064.8114090263;2184.6653125431;13715591768.474094;263256497609.0683;"2023-12-07T23:59:59.999Z"
"2023-12-06T00:00:00.000Z";"2023-12-06T23:59:59.999Z";"2023-12-06T01:14:00.000Z";"2023-12-06T23:13:00.000Z";"2790";2125.067134141;2140.2842120828;2066.6174639874;2073.0527129112;11850617662.526104;248587149279.6048;"2023-12-06T23:59:59.999Z"
"2023-12-05T00:00:00.000Z";"2023-12-05T23:59:59.999Z";"2023-12-05T18:16:00.000Z";"2023-12-05T07:45:00.000Z";"2790";2069.7126990681;2138.3151820328;2027.4427731953;2125.4278321051;14194037965.201408;254472133521.41315;"2023-12-05T23:59:59.999Z"
"2023-12-04T00:00:00.000Z";"2023-12-04T23:59:59.999Z";"2023-12-04T10:51:00.000Z";"2023-12-04T00:05:00.000Z";"2790";2015.1321318034;2091.9901818962;2015.1321318034;2070.0553478145;14835050889.661554;247758404399.44464;"2023-12-04T23:59:59.999Z"
"2023-12-03T00:00:00.000Z";"2023-12-03T23:59:59.999Z";"2023-12-03T22:22:00.000Z";"2023-12-03T12:55:00.000Z";"2790";1989.4834834774;2033.5986935594;1976.4632750871;2014.3550762565;7604184744.120388;242273853108.48404;"2023-12-03T23:59:59.999Z"
"2023-12-02T00:00:00.000Z";"2023-12-02T23:59:59.999Z";"2023-12-02T19:11:00.000Z";"2023-12-02T00:32:00.000Z";"2790";1916.5920115065;2005.027399138;1916.3574896484;1989.3074100712;8381965881.573146;239056674803.53284;"2023-12-02T23:59:59.999Z"
"2023-12-01T00:00:00.000Z";"2023-12-01T23:59:59.999Z";"2023-12-01T09:19:00.000Z";"2023-12-01T00:50:00.000Z";"2790";1884.0812520807;1935.6082675496;1876.98955164;1916.1114066599;9977164694.407448;230406405498.42087;"2023-12-01T23:59:59.999Z"
"2023-11-30T00:00:00.000Z";"2023-11-30T23:59:59.999Z";"2023-11-30T23:50:00.000Z";"2023-11-30T08:42:00.000Z";"2790";1849.157407814;1885.568914508;1849.157407814;1884.2711082857;7387841808.57464;224884741953.52573;"2023-11-30T23:59:59.999Z"
"2023-11-29T00:00:00.000Z";"2023-11-29T23:59:59.999Z";"2023-11-29T09:21:00.000Z";"2023-11-29T16:37:00.000Z";"2790";1862.2641129043;1886.0598653984;1842.9239403923;1849.8460435249;8129192998.234293;221815577567.10443;"2023-11-29T23:59:59.999Z"
"2023-11-28T00:00:00.000Z";"2023-11-28T23:59:59.999Z";"2023-11-28T17:42:00.000Z";"2023-11-28T06:07:00.000Z";"2790";1850.0080911615;1885.8511664384;1823.393326586;1862.7643358461;9042957115.103378;224846150128.50745;"2023-11-28T23:59:59.999Z"
"2023-11-27T00:00:00.000Z";"2023-11-27T23:59:59.999Z";"2023-11-27T00:47:00.000Z";"2023-11-27T20:07:00.000Z";"2790";1885.2170355438;1893.9482137755;1814.6012463991;1850.1743963077;9666359860.045935;222843647882.89795;"2023-11-27T23:59:59.999Z"
"2023-11-26T00:00:00.000Z";"2023-11-26T23:59:59.999Z";"2023-11-26T08:35:00.000Z";"2023-11-26T16:37:00.000Z";"2790";1904.0002442969;1912.4771766163;1861.794731239;1886.0623322758;7358475469.929946;226651962733.66077;"2023-11-26T23:59:59.999Z"
"2023-11-25T00:00:00.000Z";"2023-11-25T23:59:59.999Z";"2023-11-25T08:15:00.000Z";"2023-11-25T11:45:00.000Z";"2790";1901.3681134949;1910.5460829528;1889.1458730041;1904.2155607773;4899024597.925379;228972952902.53152;"2023-11-25T23:59:59.999Z"
"2023-11-24T00:00:00.000Z";"2023-11-24T23:59:59.999Z";"2023-11-24T15:41:00.000Z";"2023-11-24T00:11:00.000Z";"2790";1891.392437211;1949.5633757367;1889.9691458863;1901.236448639;11134380477.694706;229498875265.19373;"2023-11-24T23:59:59.999Z"
"2023-11-23T00:00:00.000Z";"2023-11-23T23:59:59.999Z";"2023-11-23T10:01:00.000Z";"2023-11-23T15:58:00.000Z";"2790";1895.5775100453;1912.2488729414;1871.8879758663;1890.9977435709;7189966204.229767;227750602369.63712;"2023-11-23T23:59:59.999Z"
"2023-11-22T00:00:00.000Z";"2023-11-22T23:59:59.999Z";"2023-11-22T21:29:00.000Z";"2023-11-22T00:01:00.000Z";"2790";1771.3091415414;1919.1769074295;1770.9242497847;1895.869025027;12249952022.490726;227411376343.3881;"2023-11-22T23:59:59.999Z"
"2023-11-21T00:00:00.000Z";"2023-11-21T23:59:59.999Z";"2023-11-21T01:47:00.000Z";"2023-11-21T23:59:00.000Z";"2790";1847.4997659031;1857.8167970851;1774.1691701442;1774.1691701442;12473852021.911549;212808937163.3529;"2023-11-21T23:59:59.999Z"
"2023-11-20T00:00:00.000Z";"2023-11-20T23:59:59.999Z";"2023-11-20T17:57:00.000Z";"2023-11-20T05:49:00.000Z";"2790";1844.4470213762;1889.4219551077;1826.7797169877;1847.7198911567;11795846285.536558;222944943232.99915;"2023-11-20T23:59:59.999Z"
"2023-11-19T00:00:00.000Z";"2023-11-19T23:59:59.999Z";"2023-11-19T23:52:00.000Z";"2023-11-19T02:20:00.000Z";"2790";1798.2532648419;1847.6812649365;1781.5097166127;1845.6857052126;7067823556.6990795;221754984447.70944;"2023-11-19T23:59:59.999Z"
"2023-11-18T00:00:00.000Z";"2023-11-18T23:59:59.999Z";"2023-11-18T17:34:00.000Z";"2023-11-18T07:07:00.000Z";"2790";1796.8712539427;1805.8396930961;1759.6739166253;1798.3494390986;7387163527.328919;216256405502.83292;"2023-11-18T23:59:59.999Z"
"2023-11-17T00:00:00.000Z";"2023-11-17T23:59:59.999Z";"2023-11-17T02:31:00.000Z";"2023-11-17T16:39:00.000Z";"2790";1807.4724633241;1833.4594183203;1755.6821418454;1796.5135272067;10946586745.994576;217289692350.11996;"2023-11-17T23:59:59.999Z"
"2023-11-16T00:00:00.000Z";"2023-11-16T23:59:59.999Z";"2023-11-16T11:43:00.000Z";"2023-11-16T19:40:00.000Z";"2790";1898.1492829164;1924.086097754;1787.3076279788;1806.4150689082;13500690817.48469;217282007912.62897;"2023-11-16T23:59:59.999Z"
"2023-11-15T00:00:00.000Z";"2023-11-15T23:59:59.999Z";"2023-11-15T20:29:00.000Z";"2023-11-15T02:45:00.000Z";"2790";1819.3214321192;1901.2511941558;1810.4851947288;1898.6622217351;11604781379.842964;227729945850.6709;"2023-11-15T23:59:59.999Z"
"2023-11-14T00:00:00.000Z";"2023-11-14T23:59:59.999Z";"2023-11-14T08:17:00.000Z";"2023-11-14T18:54:00.000Z";"2790";1919.8925315682;1929.6977061568;1783.4921439983;1818.8147142156;12228788288.354307;222374501766.83075;"2023-11-14T23:59:59.999Z"
"2023-11-13T00:00:00.000Z";"2023-11-13T23:59:59.999Z";"2023-11-13T16:19:00.000Z";"2023-11-13T06:36:00.000Z";"2790";1913.3800323535;1979.6401001489;1901.0028516322;1920.7481765757;13397913437.011152;231218592721.12662;"2023-11-13T23:59:59.999Z"
"2023-11-12T00:00:00.000Z";"2023-11-12T23:59:59.999Z";"2023-11-12T21:44:00.000Z";"2023-11-12T00:50:00.000Z";"2790";1919.2512523062;1933.4507600583;1887.3833825321;1913.2458891876;7432589833.0146265;229919310470.74692;"2023-11-12T23:59:59.999Z"
"2023-11-11T00:00:00.000Z";"2023-11-11T23:59:59.999Z";"2023-11-11T16:58:00.000Z";"2023-11-11T22:15:00.000Z";"2790";1942.5647488214;1953.2889524877;1902.3907439607;1918.8728426674;9561442248.030281;230767079229.37045;"2023-11-11T23:59:59.999Z"
"2023-11-10T00:00:00.000Z";"2023-11-10T23:59:59.999Z";"2023-11-10T04:58:00.000Z";"2023-11-10T14:12:00.000Z";"2790";1988.6152053193;2000.6391877634;1935.2711095304;1942.7810679842;13820131422.186264;234334616195.40842;"2023-11-10T23:59:59.999Z"
"2023-11-09T00:00:00.000Z";"2023-11-09T23:59:59.999Z";"2023-11-09T23:55:00.000Z";"2023-11-09T00:18:00.000Z";"2790";1763.501397248;1997.7263098124;1759.5415989209;1988.0470928309;23068798310.826405;238096694772.63205;"2023-11-09T23:59:59.999Z"
"2023-11-08T00:00:00.000Z";"2023-11-08T23:59:59.999Z";"2023-11-08T21:09:00.000Z";"2023-11-08T06:20:00.000Z";"2790";1764.2071756697;1778.3377086129;1753.9710815066;1764.1547416977;6311880046.194218;212424907002.74207;"2023-11-08T23:59:59.999Z"
"2023-11-07T00:00:00.000Z";"2023-11-07T23:59:59.999Z";"2023-11-07T20:55:00.000Z";"2023-11-07T17:10:00.000Z";"2790";1773.2842712115;1783.4420841165;1734.618093062;1765.1110308825;8586731507.446086;211870060221.35403;"2023-11-07T23:59:59.999Z"
